Product URL,Descriptions
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2018/12/7/c61d9a55-790c-4fcd-95d4-9cc2e4db86a01544164335217-1.jpg",Yellow Printed Blouse
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/6743810/2018/6/15/09c1b000-5189-4ffd-90c0-130133a907b31529062558856-RARE-Women-Black-Checked-Cinched-Waist-Top-3051529062558632-1.jpg",RARE Women Black Checked Cinched Waist Top
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/6/10/d5ccbb2c-3eea-4157-ac9e-08e7a3d529b21591741929483-1.jpg",Tokyo Talkies Women Black Printed Top
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/7477644/2018/9/25/3a55fe38-87c0-4cbf-8dc4-c9fde16867471537863987263-na-7031537863985765-1.jpg",RARE Women White Solid Top
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2038137/2018/4/6/11523012293839-HERENOW-Women-Blue-Printed-Cold-Shoulder-Top-1211523012293605-1.jpg",HERE&NOW Women Blue Printed Cold-Shoulder Top
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11672150/2020/5/21/8eb34e11-9862-4697-a169-007d02f550191590057477320MANGOWomenBlueRegularFitPrintedCasualShirtJeansMangoKidsBoys1.jpg",MANGO Women Black Solid Top
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11672560/2020/8/24/6e4dcc5e-4ba0-4400-b9a2-ed9c63b1b6771598248498404-MANGO-Women-Mustard-Yellow-Solid-Top-2811598248497266-1.jpg",MANGO Women Mustard Yellow Solid Top
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2042783/2018/8/21/7dc0b4d3-c90b-474b-add7-5a8702c98ff21534849241865-Vero-Moda-Women-Grey-Melange-Solid-A-Line-Top-1171534849241684-1.jpg",Vero Moda Women Grey Melange Solid A-Line Top
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10447152/2019/9/24/050a9aad-b23d-4d5c-9430-9ece5fe9f8251569319651481-VMKIA-HONIE-STRIPE-LS-WRAP-TOP-JRS-1971569319650088-1.jpg",Vero Moda Women Cream-Coloured Striped Wrap Top
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/6/13/3c4b361b-de98-41b3-954b-22f6d65f3f451560387551668-1.jpg",Tokyo Talkies Women Green Solid Top
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/8/22/a63c28fd-da96-4d87-b3f3-b996b8a7ecbe1566469261449-1.jpg",Mayra Women Pink Floral Printed Shirt Style Top
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/9/27/875c08e4-7a5f-40c6-a068-3bd535a7434e1569567321720-1.jpg",KASSUALLY Women Black Original Slim Fit Self Design Cropped Regular Trousers
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/1454592/2017/5/19/11495171710748-Mast--Harbour-Women-Black-Regular-Fit-Solid-Formal-Trousers-7341495171710369-1.jpg",Mast & Harbour Women Black Solid Formal Trousers
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/7414863/2018/9/17/e05a8578-4be1-4be5-a749-9e83add572121537168850217-NA-9871537168849993-1.jpg",Zastraa Women Black Regular Fit Solid Peg Trousers
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/7139447/2019/2/20/e0631dc3-6e67-4be3-a4e3-059e38e19dd01550640978520-Mast--Harbour-Women-Grey-Regular-Fit-Checked-Regular-Trouser-1.jpg",Mast & Harbour Women Grey Regular Fit Checked Regular Trousers
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2018/12/5/7e19c641-fa81-4f18-ad15-d711cf8cfa2d1544009025165-1.jpg",Zastraa Women Grey Straight Fit Solid Peg Trousers
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/6532594/2019/9/9/d979d938-7a2f-4d5c-83a2-64c4c49f28731568032040543-SASSAFRAS-Women-Blue-Solid-Denim-Parallel-Trousers-571156803-1.jpg",SASSAFRAS Women Blue Solid High-Rise Denim Parallel Trousers
